person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_to_income_ratio
22.0,59000.0,RENT,123.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,0.593210284571448
21.0,9600.0,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,0.10415581710238517
25.0,9600.0,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,0.5728569940631184
23.0,65500.0,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,0.5343429871299675
24.0,54400.0,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,0.6433705262770905
21.0,9900.0,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,0.2524997475002525
26.0,77100.0,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,0.4539500136185004
24.0,78956.0,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,0.44327925326443507
24.0,83000.0,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,0.42168166648594596
21.0,10000.0,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,0.15998400159984003
22.0,85000.0,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,0.4117598616486865
21.0,10000.0,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,0.44995500449955006
23.0,95000.0,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,0.3684171745560573
26.0,108160.0,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,0.3235916827692052
23.0,115000.0,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,0.30434517960713386
23.0,230000.0,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,0.05999988000024
23.0,120000.0,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,0.29166423613136555
23.0,92111.0,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,0.3799722077470905
23.0,113000.0,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,0.309731772285201
24.0,10800.0,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,0.16202203499675957
25.0,162500.0,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,0.21538328994898492
25.0,137000.0,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,0.25401274443252236
22.0,65000.0,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,0.5230688758634483
24.0,10980.0,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,0.13659958109461798
22.0,80000.0,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,0.42436969537880775
24.0,67746.0,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,0.48710644013757065
21.0,11000.0,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,0.4158712844286883
23.0,11000.0,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,0.12726115807653848
24.0,65000.0,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,0.4999923078106491
21.0,11389.0,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,0.35118525021949076
21.0,11520.0,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,0.17359604201024217
25.0,120000.0,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,0.26666444446296284
26.0,95000.0,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,0.3268386648561594
25.0,230000.0,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,0.07924810703232996
26.0,230000.0,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,0.02599991333362222
21.0,12000.0,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,0.20831597366886093
22.0,48000.0,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,0.6249869794379284
24.0,64000.0,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,0.46874267589568913
25.0,75000.0,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,0.39999466673777684
26.0,62050.0,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,0.48347327198594703
24.0,12000.0,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,0.20831597366886093
26.0,230000.0,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,0.06666644444518519
23.0,230000.0,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,0.08083306388978703
26.0,230000.0,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,0.03333322222259259
26.0,230000.0,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,0.08333305555648148
25.0,230000.0,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,0.05999980000066667
26.0,80690.0,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,0.37178867531694987
22.0,66300.0,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,0.45248186301865734
26.0,89028.0,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,0.33696885284570194
23.0,78000.0,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,0.3846104537121319
23.0,92004.0,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,0.32606923536764304
23.0,97000.0,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,0.3092751621117308
25.0,120000.0,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,0.24999791668402763
26.0,230000.0,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,0.035714158163720845
26.0,230000.0,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,0.0721748073834828
25.0,128000.0,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,0.2343731689596175
21.0,131000.0,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,0.2290058854512561
22.0,230000.0,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,0.043636204959254694
25.0,221850.0,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,0.11268824571446602
22.0,70000.0,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,0.4157083470236139
22.0,12000.0,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,0.12498958420131656
26.0,230000.0,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,0.10769189349271734
25.0,230000.0,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,0.07721977907421207
24.0,230000.0,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,0.03764691118858358
25.0,230000.0,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,0.09999960000159999
21.0,12000.0,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,0.24997916840263312
23.0,65000.0,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,0.4307626036522515
26.0,85000.0,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,0.3294078893189492
26.0,12000.0,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,0.5082909757520206
22.0,88000.0,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,0.3181782025204259
21.0,12000.0,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,0.34997083576368637
22.0,12000.0,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,0.39580034997083574
24.0,83004.0,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,0.3373290765616529
24.0,230000.0,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,0.07199971200115199
50.0,230000.0,RENT,4.0,VENTURE,C,4800,13.57,0,0.02,N,3,0.0191999232003072
25.0,100000.0,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,0.2799972000279997
26.0,110000.0,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,0.2545431405169044
23.0,151200.0,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,0.18518396042354218
21.0,12000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,0.2708107657695192
22.0,70000.0,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,0.3928515306924187
26.0,73200.0,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,0.36953047089520635
24.0,83000.0,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,0.3252972855748726
23.0,62500.0,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,0.4159933441064943
23.0,120000.0,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,0.21333155557037026
24.0,12360.0,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,0.12943936574710785
22.0,60000.0,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,0.4245762570623823
25.0,230000.0,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,0.08546972021487087
24.0,230000.0,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,0.08546972021487087
26.0,230000.0,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,0.09230729783206054
25.0,221004.0,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,0.05384493563494039
26.0,230000.0,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,0.10752641924120757
25.0,230000.0,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,0.152173251420646
23.0,83000.0,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,0.3048156046312695
22.0,12600.0,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,N,4,0.15871756209824617
25.0,12600.0,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,0.1388778668359654
21.0,42500.0,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,0.5882214536128562
25.0,12816.0,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,0.2340641335725989
24.0,12960.0,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,0.28161407298819535
26.0,226000.0,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,0.08849518364962987
25.0,225000.0,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,0.13333274074337448
26.0,213000.0,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,0.16431847737804048
24.0,12960.0,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,0.34719543245119977
23.0,12996.0,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,0.18465799799953836
22.0,42000.0,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,0.5952239232399229
26.0,48000.0,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,0.5208224828649403
25.0,12996.0,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,0.2769869969993075
25.0,42360.0,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,0.5901654824012653
21.0,49000.0,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,0.5101936695169487
25.0,225000.0,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,0.1111106172861454
26.0,225000.0,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,0.013333274074337447
23.0,225000.0,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,0.03333318518584362
26.0,225000.0,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,0.1111106172861454
22.0,49464.0,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,0.5054078641463661
23.0,50000.0,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,0.499990000199996
25.0,50000.0,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,0.499990000199996
